#,Original,Import Test,Reading,Tone,Definition,Radical,Stroke count,HSK Char level,TGL,TGL #,Frequency rank,Note,System ID,Length,Radical Order,General Standard #
423,裤,裤,kù,4,"trousers, pants",衣 145.7,12,3,G6,1767,2090,-,605,2,2168,2791
424,鼻,鼻,bí,2,nose; first; KangXi radical 209,鼻 209.0,14,3,G5,1209,1335,-,568,2,2659,3128
425,半,半,bàn,4,half,十 24.3,5,3,G3,493,513,-,464,3,333,307
426,吗,吗,ma,0,final interrogative particle,口 30.3,6,1,G2,313,453,-,120,2,413,432
427,帮,帮,bāng,1,"help, assist; defend; shoe upper",巾 50.7,9,2,G2,353,769,-,290,4,801,1356
428,圆,圆,yuán,2,"circle; round, circular; complete",囗 31.7,10,5,G3,623,1145,-,1307,4,532,1922
429,城,城,chéng,2,"castle; city, town; municipality",土 32.7,9,3,G3,454,413,-,437,5,559,1373
430,所,所,suǒ,3,"place, location; numerary adjunct",戶 63.4,8,2,G1,52,54,-,186,3,984,1164
431,带,带,dài,4,"belt, girdle, band, strap, zone",巾 50.6,9,3,G1,177,342,-,424,3,799,1407
432,草,草,cǎo,3,"grass, straw, thatch, herbs",艸 140.6,9,3,G3,566,789,-,515,3,2081,1408
433,笼,笼,lóng,2,cage; cage-like basket,竹 118.5,11,6,G6,1714,1928,-,2071,4,1838,2318
434,诉,诉,sù,4,accuse; sue; inform; narrate,言 149.5,7,2,G3,515,595,-,276,2,2212,894
435,厅,厅,tīng,1,"hall, central room",厂 27.2,4,4,G5,1165,1217,-,916,4,353,90
436,新,新,xīn,1,"new, recent, fresh, modern",斤 69.9,13,2,G2,215,161,-,214,3,1184,2994
437,愉,愉,yú,2,"pleasant, delightful; please",心 61.9,12,4,G5,1342,1982,-,1011,2,952,2777
438,面,面,miàn,4,"face; surface; plane; side, dimension",面 176.0,9,1,G1,72,74,-,44,4,2568,1455
439,业,业,yè,4,"profession, business; GB radical 111",一 1.4,5,3,G2,208,130,-,372,2,18,231
440,恭,恭,gōng,1,"respectful, polite, reverent",心 61.6,10,5,G7,1984,1742,-,1494,4,915,1820
441,咸,咸,xián,2,"together; all, completely; united",口 30.6,9,4,G7,2205,2525,-,1047,4,453,1443
442,啤,啤,pí,2,beer,口 30.8,11,3,G3,637,2849,*,615,2,487,2289
443,工,工,gōng,1,"labor, work; worker, laborer",工 48.0,3,1,G1,102,118,-,60,4,776,26
444,离,离,lí,2,rare beast; strange; elegant,禸 114.6,10,2,G3,458,418,-,260,2,1785,2035
445,皮,皮,pí,2,"skin, hide, fur, feather; outer",皮 107.0,5,3,G3,556,741,-,508,2,1700,336
446,报,报,bào,4,"report, tell, announce",手 64.4,7,2,G2,246,234,-,229,3,1023,656
447,已,已,yǐ,3,already; finished; stop,己 49.0,3,2,G2,206,117,-,202,2,783,61
448,烧,烧,shāo,1,burn; bake; heat; roast,火 86.6,10,3,G4,905,1201,-,562,4,1564,2060
449,根,根,gēn,1,"root, base(d on); foundation",木 75.6,10,3,G3,425,352,-,426,3,1310,1850
450,终,终,zhōng,1,"end; finally, in the end",糸 120.5,8,3,G3,507,558,-,472,5,1905,1344
451,赞,赞,zàn,4,"help, support, assist, aid",貝 154.12,16,5,G5,1155,1179,-,1323,3,2297,3355
452,黑,黑,hēi,1,"black; dark; evil, sinister",黑 203.0,12,2,G3,495,519,-,272,3,2655,2655
453,事,事,shì,4,"affair, matter, business; to serve; accident, incident",亅 6.7,8,2,G1,56,58,-,188,3,61,1038
454,饺,饺,jiǎo,3,stuffed dumplings,食 184.6,9,4,G8,2585,3650,-,1064,4,2610,1613
455,雨,雨,yǔ,3,rain; rainy; KangXi radical 173,雨 173.0,8,1,G2,362,928,-,156,2,2550,1041
456,广,广,guǎng,3,"wide, extensive, broad; rad. 53",广 53.0,3,4,G4,680,468,-,723,5,815,53
457,值,值,zhí,2,price,人 9.8,10,4,G4,729,600,-,770,3,179,1956
458,接,接,jiē,1,receive; continue; catch; connect,手 64.8,11,3,G2,253,247,-,403,3,1104,2185
459,后,后,hòu,4,"queen, empress, sovereign; (simp. for 後) behind, rear, after",口 30.3,6,1,G1,46,48,-,32,3,409,482
460,据,据,jù,4,"to occupy, take possession of; a base, position",手 64.8,11,3,G5,983,313,-,419,2,1092,2189
461,爸,爸,bà,4,"father, papa",父 88.4,8,1,G1,195,1050,-,162,2,1589,1171
462,辆,辆,liàng,4,numerary adjunct for vehicles,車 159.7,11,3,G5,1223,1375,-,571,5,2348,2251
463,堂,堂,táng,2,hall; government office,土 32.8,11,6,G4,841,980,-,1734,4,563,2256
464,际,际,jì,4,"border, boundary, juncture",阜 170.5,7,4,G5,990,423,-,711,2,2518,911
465,层,层,céng,2,"storey, layer, floor, stratum",尸 44.4,7,3,G4,758,699,-,499,4,741,902
466,跳,跳,tiào,4,"jump, leap, vault, bounce; dance",足 157.6,13,2,G2,365,999,-,310,4,2321,2915
467,如,如,rú,2,"if, supposing; as if; like, as",女 38.3,6,3,G1,65,67,-,359,2,625,578
468,梯,梯,tī,1,"ladder, steps, stairs; lean",木 75.7,11,3,G5,1296,1672,-,587,2,1327,2229
469,好,好,hǎo,3,"good, excellent, fine; well",女 38.3,6,1,G1,80,82,-,49,3,624,581
470,圈,圈,quān,1,to circle; a circle; corral,囗 31.8,11,5,G5,1219,1366,-,1380,4,533,2302
471,会,会,huì,4,"assemble, meet together; meeting",人 9.4,6,1,G1,29,29,-,23,3,115,486
472,银,银,yín,2,"silver; cash, money, wealth",金 167.6,11,3,G4,776,757,-,511,3,2474,2309
473,名,名,míng,2,"name, rank, title, position",口 30.3,6,1,G1,152,203,-,80,4,408,505
474,词,词,cí,2,"words; phrase, expression",言 149.5,7,3,G3,603,959,-,536,2,2214,897
475,息,息,xī,1,"rest, put stop to, end, cease",心 61.6,10,2,G3,461,428,-,262,2,916,1973
476,乒,乒,pīng,1,used with pong for ping pong,丿 4.5,6,4,G8,2572,3447,-,1062,4,44,456
477,舒,舒,shū,1,"open up, unfold, stretch out; comfortable, easy",舌 135.6,12,3,G5,1246,1459,-,579,3,2047,2707
478,提,提,tí,2,hold in hand; lift in hand,手 64.9,12,3,G3,382,196,-,390,2,1114,2520
479,救,救,jiù,4,"save, rescue, relieve; help, aid",攴 66.7,11,5,G3,587,872,-,1213,3,1163,2232
480,漫,漫,màn,4,overflow of water; spreading,水 85.11,14,4,G6,1552,1455,-,956,3,1527,3164
481,四,四,sì,4,four,囗 31.2,5,1,G1,159,226,-,87,2,522,262
482,身,身,shēn,1,"body; trunk, hull; rad. no. 158",身 158.0,7,2,G1,134,164,-,215,4,2334,786
483,骑,骑,qí,2,ride horseback; mount; cavalry,馬 187.8,11,3,G4,934,1398,-,574,2,2630,2489
484,瓜,瓜,guā,1,"melon, gourd, cucumber; rad. 97",瓜 97.0,5,2,G4,973,1827,-,340,3,1640,279
485,别,别,bié,2,"separate, other; do not",刀 18.5,7,2,G1,157,222,-,228,3,275,751
486,乎,乎,hū,1,interrogative or exclamatory final particle,丿 4.4,5,3,G4,677,458,-,448,2,41,280
487,差,差,chà,4,"to differ; different, wrong; nearly, almost; an officer",工 48.7,9,3,G4,768,732,-,506,3,781,1640
488,用,用,yòng,4,"use, employ, apply, operate; use",用 101.0,5,3,G1,49,51,-,353,4,1649,283
489,闻,闻,wén,2,hear; smell; make known; news,門 169.6,9,3,G4,797,825,-,520,3,2503,1636
490,印,印,yìn,4,"print, seal, stamp, chop, mark",卩 26.4,5,4,G4,737,640,-,782,3,346,285
491,乐,乐,lè,4,"happy, glad; enjoyable; music",丿 4.4,5,2,G1,191,619,-,280,2,43,287
492,美,美,měi,3,"beautiful, pretty; pleasing",羊 123.3,9,4,G1,125,151,-,630,3,1950,1642
493,送,送,sòng,4,"see off, send off; dispatch, give",辵 162.6,9,2,G3,536,656,-,285,4,2393,1645
494,洗,洗,xǐ,3,"wash, rinse; clean, purify",水 85.6,9,2,G3,627,1247,-,329,2,1446,1671
495,候,候,hòu,4,wait; expect; visit; greet,人 9.8,10,1,G1,176,341,-,104,3,174,1964
496,活,活,huó,2,"live, exist, survive; lively",水 85.6,9,4,G2,237,219,-,644,3,1451,1672
